"","roc_curve.specificities"
"1",0
"2",0.0175438596491228
"3",0.0350877192982456
"4",0.0526315789473684
"5",0.0701754385964912
"6",0.087719298245614
"7",0.105263157894737
"8",0.12280701754386
"9",0.140350877192982
"10",0.157894736842105
"11",0.175438596491228
"12",0.175438596491228
"13",0.192982456140351
"14",0.210526315789474
"15",0.228070175438596
"16",0.245614035087719
"17",0.263157894736842
"18",0.280701754385965
"19",0.298245614035088
"20",0.315789473684211
"21",0.333333333333333
"22",0.350877192982456
"23",0.368421052631579
"24",0.385964912280702
"25",0.385964912280702
"26",0.403508771929825
"27",0.421052631578947
"28",0.421052631578947
"29",0.43859649122807
"30",0.43859649122807
"31",0.456140350877193
"32",0.473684210526316
"33",0.473684210526316
"34",0.491228070175439
"35",0.508771929824561
"36",0.526315789473684
"37",0.543859649122807
"38",0.614035087719298
"39",0.631578947368421
"40",0.631578947368421
"41",0.631578947368421
"42",0.631578947368421
"43",0.649122807017544
"44",0.649122807017544
"45",0.666666666666667
"46",0.719298245614035
"47",0.736842105263158
"48",0.736842105263158
"49",0.754385964912281
"50",0.771929824561403
"51",0.771929824561403
"52",0.789473684210526
"53",0.789473684210526
"54",0.807017543859649
"55",0.824561403508772
"56",0.842105263157895
"57",0.859649122807018
"58",0.87719298245614
"59",0.894736842105263
"60",0.894736842105263
"61",0.912280701754386
"62",0.912280701754386
"63",0.912280701754386
"64",0.912280701754386
"65",0.912280701754386
"66",0.912280701754386
"67",0.912280701754386
"68",0.929824561403509
"69",0.929824561403509
"70",0.929824561403509
"71",0.947368421052632
"72",0.947368421052632
"73",0.947368421052632
"74",0.964912280701754
"75",0.964912280701754
"76",0.964912280701754
"77",0.982456140350877
"78",0.982456140350877
"79",0.982456140350877
"80",0.982456140350877
"81",1
"82",1
"83",1
"84",1
"85",1
